Obs_ID,Study_ID,Site_Name,Reference,Year,Journal,Country,Region,Climate_zone,Forest_type,Terrain_type,GEDI_used,GEDI_product,GEDI_metrics,Spatial_resolution_m,Resolution_class,Spatial_resol_ID,Sensor_combination,Data_fusion,Model_category,Model_algorithm,Model_comparison,Best_model,Training_samples,Study_scale,R2,r,Fisher_Z,r_check,R2_check,vi
M516,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,,1.5,Very-high,1 â 5 m,Optical+SAR+LiDAR,Yes,Statistical,MARS,Yes,No,45.0,Local,0.86,0.927362,1.63921,0.9274,0.86,0.02381
M517,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,,1.5,Very-high,1 â 5 m,Optical+SAR+LiDAR,Yes,Statistical,MARS,Yes,No,45.0,Local,0.9,0.948683,1.818443,0.9487,0.9,0.02381
M518,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,,1.5,Very-high,1 â 5 m,Optical+SAR+LiDAR,Yes,Statistical,MARS,Yes,No,45.0,Local,0.88,0.938083,1.72183,0.9381,0.88,0.02381
M519,S304,Mondah_Gabon,"Migolet et al. 2022. Estimation of the total dry aboveground biomass in the tropical forests of Congo Basin using optical, LiDAR, and radar data. GIScience & Remote Sensing, 59(1), 431-460.",2022,GIScience & Remote Sensing,Gabon,Central-Africa,Tropical,Mixed forest,Flat / Lowland,No,,,1.5,Very-high,1 â 5 m,Optical+SAR+LiDAR,Yes,Statistical,MARS,Yes,Yes,45.0,Local,0.89,0.943398,1.768074,0.9434,0.89,0.02381
M520,S305,Betul,"Rodda et al. 2024. LiDAR-based reference aboveground biomass maps for tropical forests of South Asia and Central Africa. Scientific Data, 11, 334.",2024,Scientific Data,India,South-Asia,Tropical,Deciduous forest,Hilly,No,,,100.0,Medium,30 â 100 m,LiDAR-only,No,Statistical,Linear Regression,No,Yes,34.0,Local,0.76,0.87178,1.340449,0.8718,0.76,0.032258
M521,S305,Achanakmar,"Rodda et al. 2024. LiDAR-based reference aboveground biomass maps for tropical forests of South Asia and Central Africa. Scientific Data, 11, 334.",2024,Scientific Data,India,South-Asia,Tropical,Mixed forest,Hilly,No,,,100.0,Medium,30 â 100 m,LiDAR-only,No,Statistical,Linear Regression,No,Yes,16.0,Local,0.9,0.948683,1.818443,0.9487,0.9,0.076923
M522,S305,Yellapur,"Rodda et al. 2024. LiDAR-based reference aboveground biomass maps for tropical forests of South Asia and Central Africa. Scientific Data, 11, 334.",2024,Scientific Data,India,South-Asia,Tropical,Mixed forest,Hilly,No,,,100.0,Medium,30 â 100 m,LiDAR-only,No,Statistical,Linear Regression,No,Yes,15.0,Local,0.85,0.921954,1.6019,0.922,0.85,0.083333
M523,S305,Uppangala,"Rodda et al. 2024. LiDAR-based reference aboveground biomass maps for tropical forests of South Asia and Central Africa. Scientific Data, 11, 334.",2024,Scientific Data,India,South-Asia,Tropical,Tropical moist forest,Hilly,No,,,100.0,Medium,30 â 100 m,LiDAR-only,No,Statistical,Linear Regression,No,Yes,23.0,Local,0.64,0.8,1.098612,0.8,0.64,0.05
M524,S305,Khaoyai,"Rodda et al. 2024. LiDAR-based reference aboveground biomass maps for tropical forests of South Asia and Central Africa. Scientific Data, 11, 334.",2024,Scientific Data,Thailand,South-Asia,Tropical,Tropical moist forest,Hilly,No,,,100.0,Medium,30 â 100 m,LiDAR-only,No,Statistical,Linear Regression,No,Yes,31.0,Local,0.65,0.806226,1.116151,0.8062,0.65,0.035714
M525,S305,Nachtigal,"Rodda et al. 2024. LiDAR-based reference aboveground biomass maps for tropical forests of South Asia and Central Africa. Scientific Data, 11, 334.",2024,Scientific Data,Cameroon,Central-Africa,Tropical,Mixed forest,Hilly,No,,,100.0,Medium,30 â 100 m,LiDAR-only,No,Statistical,Linear Regression,No,Yes,11.0,Local,0.22,0.469042,0.508841,0.469,0.22,0.125
M526,S305,Cameroon_regional,"Rodda et al. 2024. LiDAR-based reference aboveground biomass maps for tropical forests of South Asia and Central Africa. Scientific Data, 11, 334.",2024,Scientific Data,Cameroon,Central-Africa,Tropical,Tropical moist forest,Hilly,No,,,100.0,Medium,30 â 100 m,LiDAR-only,No,Statistical,Linear Regression,No,Yes,27.0,Regional,0.66,0.812404,1.134059,0.8124,0.66,0.041667
M527,S305,MabouniÃ©,"Rodda et al. 2024. LiDAR-based reference aboveground biomass maps for tropical forests of South Asia and Central Africa. Scientific Data, 11, 334.",2024,Scientific Data,Gabon,Central-Africa,Tropical,Tropical moist forest,Flat / Lowland,No,,,100.0,Medium,30 â 100 m,LiDAR-only,No,Statistical,Linear Regression,No,Yes,11.0,Local,0.79,0.888819,1.416274,0.8888,0.79,0.125
M528,S305,Rabi,"Rodda et al. 2024. LiDAR-based reference aboveground biomass maps for tropical forests of South Asia and Central Africa. Scientific Data, 11, 334.",2024,Scientific Data,Gabon,Central-Africa,Tropical,Tropical moist forest,Flat / Lowland,No,,,100.0,Medium,30 â 100 m,LiDAR-only,No,Statistical,Linear Regression,No,Yes,25.0,Local,0.54,0.734847,0.939184,0.7348,0.54,0.045455
M529,S306,African_dense_forests,"Wan et al. 2025. Satellite-based mapping of annual canopy height and aboveground biomass in African dense forests. Frontiers in Remote Sensing, 6, 1724950.",2025,Frontiers in Remote Sensing,Multiple,Central-Africa,Tropical,Tropical moist forest,Flat / Lowland,Yes,GEDI L2A,RH metrics,30.0,Medium,5 â 30 m,Optical+SAR+LiDAR,Yes,Statistical,Nonlinear Regression,Yes,No,,Multi-country,0.37,0.608276,0.70618,0.6083,0.37,
M530,S306,African_dense_forests,"Wan et al. 2025. Satellite-based mapping of annual canopy height and aboveground biomass in African dense forests. Frontiers in Remote Sensing, 6, 1724950.",2025,Frontiers in Remote Sensing,Multiple,Central-Africa,Tropical,Tropical moist forest,Flat / Lowland,Yes,GEDI L2A,RH metrics,30.0,Medium,5 â 30 m,Optical+SAR+LiDAR,Yes,Statistical,Nonlinear Regression,Yes,Yes,,Multi-country,0.4,0.632456,0.745499,0.6325,0.4,
M531,S306,African_dense_forests,"Wan et al. 2025. Satellite-based mapping of annual canopy height and aboveground biomass in African dense forests. Frontiers in Remote Sensing, 6, 1724950.",2025,Frontiers in Remote Sensing,Multiple,Central-Africa,Tropical,Tropical moist forest,Flat / Lowland,Yes,GEDI L2A,RH metrics,30.0,Medium,5 â 30 m,Optical+SAR+LiDAR,Yes,Machine-learning,XGBoost,Yes,No,,Multi-country,0.49,0.7,0.867301,0.7,0.49,
